base_origin,feature,r_mean,r_std,r_full,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_pooled_se,p_adj,neg_log10_padj,bootstrap_p_adj,neg_log10_bootstrap_padj
syn_LEA_1,nardini_Frac E_raw,-0.09966376822696665,0.12743547207450753,-0.103239549663566,-1.090180810038545,0.8700742950238275,0.4207134405860725,0.432,63,0.11447852361919712,0.6427962922351627,0.19192663699029416,0.6515622188905548,0.18604410638172825
syn_LEA_1,nardini_Frac F_raw,-0.10644163354033088,0.28460639117582587,-0.11533810858190532,-7.1638150886137115,10.822711474481837,0.682304862014669,0.666,15,0.15046570080810212,0.8190915169293044,0.08666757189410179,0.8160730816077953,0.08827094722923112
syn_LEA_1,nardini_Frac G_raw,-0.008960101149985703,0.19857238395188398,-0.005892078689835763,1.231866452142877,2.687581542100952,0.9772104187553742,0.988,26,0.1377276036621298,0.9920015720020221,0.003487639628822553,0.994922922922923,0.0022105629184455845
syn_LEA_1,nardini_Frac H_raw,-0.3901915851688073,0.20221207802483498,-0.39538065846532183,-7.493120954804763,7.499664643473437,0.03376210182752818,0.068,29,0.1262225822859894,0.1306333632249744,0.8839458918659031,0.21444514106583074,0.6686837896310361
syn_LEA_1,nardini_Frac I_raw,-0.5040114137957977,0.09557877775225164,-0.5099149689225659,-2.792080848154027,1.3604334359080144,5.0863028133394625e-05,0.001,57,0.12817284515767882,0.0008822104534861205,3.054427800485925,0.008902654867256637,2.050480462763511
syn_LEA_1,nardini_Frac K_raw,0.3246288987130646,0.10894927732820923,0.33175058956563924,1.2679940495652569,0.6076351817871999,0.009612725442533715,0.006,60,0.12528736577507643,0.05010570878336226,1.3001127900635252,0.034101694915254235,1.4672240352582544
syn_LEA_1,nardini_Frac L_raw,-0.6417773793492851,0.07201249128215598,-0.6445804246328357,-6.319485388784098,0.8446146650908078,2.2763097435168283e-09,0.001,69,0.12036857300070528,2.5444084466421437e-07,6.59441317137094,0.008902654867256637,2.050480462763511
syn_LEA_1,nardini_Frac M_raw,-0.4734915152900582,0.12108025336088726,-0.47378525163776736,-3.427514159622224,1.4062011519023778,0.000388477520482638,0.001,52,0.1258509398632926,0.0041581343204745436,2.3811014857359836,0.008902654867256637,2.050480462763511
syn_LEA_1,nardini_Frac N_raw,-0.34311318386567335,0.11095774397190729,-0.3411497796530387,-2.4660186259068113,1.210898408693708,0.010806580344346468,0.004,55,0.12409849848139061,0.05518487221529211,1.258179958753452,0.026300653594771243,1.5800334587697278
syn_LEA_1,nardini_Frac P_raw,-0.3336076830927917,0.20223800773849127,-0.34103467200684834,-2.2346562685957507,2.22070395064201,0.08820118734668218,0.112,26,0.13783934917291205,0.2583652264925304,0.5877659386593604,0.3073154898767978,0.5124155490879814
syn_LEA_1,nardini_Frac Q_raw,-0.23043691260278212,0.11747030294187316,-0.23214608436634476,-0.5721625525096891,0.6506871059678874,0.08810434959089519,0.056,55,0.09866618037067612,0.2583652264925304,0.5877659386593604,0.1896835016835017,0.7219704415911034
