base_origin,feature,r_mean,r_std,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_calculated_std,p_adj,neg_log10_padj,bootstrap_p_adj,neg_log10_bootstrap_padj
syn_LEA_1,nardini_Frac E_raw,-0.10463077876825788,0.1168403102098763,-0.7995329858039406,0.7695081643282333,0.41778100135480467,0.36,62,0.26781575827419357,0.6312553061223067,0.19979495832286162,0.580821364274298,0.2359574174185127
syn_LEA_1,nardini_Frac F_raw,-0.12972767970037388,0.3064413129626907,-2.616222241252563,30.484221452202476,0.6192273211487976,0.668,14,0.5023321321428572,0.7823527360254796,0.1065973942932359,0.8203210191082803,0.0860161603668761
syn_LEA_1,nardini_Frac G_raw,-0.19012941693416613,0.19701308505887938,-1.4508470661469282,2.102553821889174,0.40280430741700846,0.33,25,0.35824332872,0.6186358194093227,0.20856493767676315,0.5620494699646643,0.2502254574075532
syn_LEA_1,nardini_Frac H_raw,-0.3173401865419855,0.20356521822256454,-7.299913044115893,10.97524425806198,0.08965492494617966,0.15815815815815815,28,0.3345365267857142,0.26297153693432124,0.5800912553935567,0.3764554678134925,0.4242863905833975
syn_LEA_1,nardini_Frac I_raw,-0.5129449807880351,0.0926600325843282,-2.466631586810743,1.2736433533590223,4.758374640500701e-05,0.001,56,0.3015483593571429,0.0008203081736443188,3.086022961067657,0.008844036697247707,2.053349464037793
syn_LEA_1,nardini_Frac K_raw,0.3236267032933908,0.0992532058266221,1.3767374345643495,0.6053235528385571,0.009858314890061566,0.004,59,0.30223743430508476,0.05001797660010184,1.3008738809618634,0.0241,1.6179829574251317
syn_LEA_1,nardini_Frac L_raw,-0.6307344722406906,0.07149441208349415,-6.710025605294086,1.0525963936049838,4.705343391355919e-09,0.001,68,0.2842988487205883,6.466799183544563e-07,6.189310625187505,0.008844036697247707,2.053349464037793
syn_LEA_1,nardini_Frac M_raw,-0.507151159949039,0.12359499660305179,-4.6636406201747125,1.856538152780084,0.00013859377518504837,0.004,51,0.31142775686274515,0.0019086342754055232,2.7192772813442523,0.0241,1.6179829574251317
syn_LEA_1,nardini_Frac N_raw,-0.3362173924157922,0.11021644984560278,-2.635741867692816,1.43420080037761,0.011545227204988373,0.004,54,0.3173325911851852,0.05649542652593296,1.247986708197271,0.0241,1.6179829574251317
syn_LEA_1,nardini_Frac P_raw,-0.3899307076716772,0.17622119367389572,-5.730501743782587,2.2026789928752395,0.05154986912967725,0.048,25,0.41339916960000006,0.17684723786835896,0.75240171893036,0.17074538745387455,0.7676510195959877
syn_LEA_1,nardini_Frac Q_raw,-0.23986612353116743,0.11668639858085379,-1.2554642517853107,1.1113051217921437,0.08744819358862548,0.05,54,0.2265093276111111,0.2591707218661945,0.5864140616368657,0.17655677655677657,0.7531156088019064
syn_LEA_1,nardini_Frac R_raw,-0.36604522477892243,0.12189884537943939,-2.2206405098777777,1.4919342458556983,0.006588161121116509,0.004,53,0.3093239256792453,0.03757980663169417,1.4250454589083046,0.0241,1.6179829574251317
syn_LEA_1,nardini_Frac S_raw,0.4754421288484297,0.09872008325589936,3.4223029009079817,0.9421677459060277,0.0005755813580537287,0.001,45,0.2568391971111111,0.006031091621345593,2.2196040738930707,0.008844036697247707,2.053349464037793
syn_LEA_1,nardini_Frac T_raw,-0.532931471628258,0.12900164752352974,-3.6131120710727878,1.7974838017010015,0.00013379580302859328,0.001,46,0.2554961755217391,0.0018967522664641752,2.7219893883171196,0.008844036697247707,2.053349464037793
syn_LEA_1,nardini_Frac V_raw,0.007073902760402176,0.130382205144959,0.33113174435044007,1.764850134138662,0.9561085748997686,0.986,55,0.25363941167272724,0.9726165468092086,0.012058346194117466,0.9890780437044745,0.004769438824503378
syn_LEA_1,nardini_Frac Y_raw,0.3725552841755417,0.48490835805118837,15.91129019060314,14.835852014277316,0.5122252586995417,0.36030204962243795,6,0.3271902775,0.7084435428785627,0.1496947537344606,0.580821364274298,0.2359574174185127
syn_LEA_1,nardini_Frac K+R_raw,0.14238162760724532,0.21014258403359096,0.3438240832442417,0.473444491168352,0.46209109779324564,0.52,27,0.2066427293333333,0.6728939853061764,0.17205335364121332,0.7233477633477634,0.14065285707417677
syn_LEA_1,nardini_Frac D+E_raw,-0.18831760100910028,0.18105347297358967,-0.5010742600689552,0.4080429489869904,0.3282371950415488,0.328,27,0.21036577103703702,0.5569226764770684,0.2542050983818178,0.561619893428064,0.2505575172368364
syn_LEA_1,nardini_Frac Polar_raw,-0.30861140505096457,0.13764489906470095,-0.9810163936932343,0.46500175358394996,0.04355171470769625,0.038,41,0.30398744202439026,0.1578340337527037,0.8017993441094561,0.14035249042145595,0.85277987681864
syn_LEA_1,nardini_Frac Aliphatic_raw,0.44329829699260564,0.14874778658912688,1.4639180626366783,0.5820717109095657,0.008488803988117036,0.008,33,0.33157694778787883,0.045703521206540275,1.3400503386247065,0.042142076502732245,1.3752840688356551
syn_LEA_1,nardini_Frac Aromatic_raw,-0.13620438693562256,0.2696204434811119,-4.281088280953552,6.273679116647282,0.5579456060457062,0.626,18,0.48689898972222223,0.7439274747276082,0.1284694016327247,0.7919475065616798,0.10130360422634005
syn_LEA_1,nardini_R/K Ratio_raw,-0.2893386647791349,0.09393149320180588,-0.24610064712727148,0.12388050147909573,0.0018694213857497633,0.008,113,0.2478484614247788,0.01477149357264567,1.830575590161028,0.042142076502732245,1.3752840688356551
syn_LEA_1,nardini_E/D Ratio_raw,-0.1486351836177432,0.12824727357312224,-0.15433174039618552,0.17964322032221763,0.2434510713139328,0.234,62,0.26781575827419357,0.46198195422565197,0.3353749883687351,0.46703105590062116,0.3306542394385385
syn_LEA_1,nardini_Frac Chain Expanding_raw,0.013539290484690778,0.1751062238642705,-0.30492186173916425,0.42039078383238554,0.8709531795086733,0.942,31,0.3481190231935484,0.9303600214211303,0.031348959983428216,0.9660510638297872,0.01499991690399052
syn_LEA_1,nardini_FCR_raw,0.05265800903976934,0.29685612910831277,-0.03469076658460367,0.3285224991492507,0.86179555020213,0.812,16,0.17356871968749998,0.9303600214211303,0.031348959983428216,0.9007686996547757,0.04538671330466035
syn_LEA_1,nardini_NCPR_raw,0.17752380312912813,0.1874963927442699,0.41742222640506466,0.38111240878450453,0.39021493493864845,0.336,22,0.2711716157272727,0.6067212859368663,0.21701076819628687,0.5662657342657343,0.2469797175003493
syn_LEA_1,nardini_Hydrophobicity_raw,-0.30282326623332617,0.3576251952688121,-0.4556914983706803,0.6890943693241626,0.32589494101284167,0.414,11,0.5044201494545454,0.5550714934627201,0.2556510759463526,0.6294889589905363,0.20101188285800298
syn_LEA_1,nardini_Disorder Promoting_raw,0.6376006047721156,0.08403318420576979,1.3899159988656031,0.3453735697176578,1.8006348751489185e-06,0.001,45,0.23084320984444445,5.424412561386117e-05,4.265647287002418,0.008844036697247707,2.053349464037793
